b a g i0
3.963128452739011487e-01 7.925239327350475094e+01 2.500000000000000000e-01 2.067677417575358945e+00
3.935713173361711781e-01 5.281539478041356972e+01 2.500000000000000000e-01 2.179478088990553175e+00
3.973342603655283800e-01 8.336332757583884145e+00 2.500000000000000000e-01 2.022854898241401411e+00
3.961711829875826374e-01 6.328589132427426733e+01 2.500000000000000000e-01 2.081315027101414028e+00
3.957170875792034859e-01 7.477618512324897893e+01 2.500000000000000000e-01 2.093006186817668812e+00
3.961897278361007912e-01 4.858038082440401695e+01 2.500000000000000000e-01 2.072705445558141069e+00
3.956732510525566848e-01 2.678880225675274573e+01 2.500000000000000000e-01 2.090936265186288168e+00
3.961504280536768952e-01 3.437461929924445769e+01 2.500000000000000000e-01 2.079373899896049149e+00
3.958130825181639389e-01 6.104801411369669140e+00 2.500000000000000000e-01 2.090635394904066580e+00
3.969911623539321699e-01 2.295223199510268941e+01 2.500000000000000000e-01 2.033960613376905258e+00
3.966057592531315179e-01 5.250763078168071019e+01 2.500000000000000000e-01 2.052160567153158865e+00
3.947864638638693968e-01 5.969091741871035595e+01 2.500000000000000000e-01 2.122137932632515600e+00
3.963400010372737370e-01 6.304028362881766867e+01 2.500000000000000000e-01 2.060801878368161422e+00
3.961504280536768952e-01 3.437461929924445769e+01 2.500000000000000000e-01 2.079373899896049149e+00
3.958869051599183675e-01 4.375403381264828084e+01 2.500000000000000000e-01 2.081804161486497939e+00
3.963317913305110518e-01 8.710458438533335368e+01 2.500000000000000000e-01 2.079368059675288372e+00
3.973085443496698344e-01 1.689804988848187151e+01 2.500000000000000000e-01 2.029681500760295521e+00
3.964483981141863622e-01 3.123288058327201355e+01 2.500000000000000000e-01 2.056847827859116684e+00
3.968392659544275891e-01 2.971643562661981264e+01 2.500000000000000000e-01 2.054445899485271898e+00
3.965183825253513206e-01 8.266804306112020129e+01 2.500000000000000000e-01 2.065256088140361435e+00
3.955366743769968552e-01 9.073847723239278196e+01 2.500000000000000000e-01 2.087962295880938512e+00
3.946974460783003180e-01 4.344846433306280176e+00 2.500000000000000000e-01 2.118382056670130353e+00
3.963359465585631902e-01 7.897409741051336596e+01 2.500000000000000000e-01 2.063738946615853997e+00
3.962019924360184464e-01 1.817367420066166872e+01 2.500000000000000000e-01 2.066115760333546714e+00
3.960265786817153133e-01 1.816392996910555890e+00 2.500000000000000000e-01 2.068047424008575330e+00
3.965605218421157097e-01 4.763240923717448538e+01 2.500000000000000000e-01 2.056237317078557947e+00
3.963690718866011431e-01 1.880295090047232165e+01 2.500000000000000000e-01 2.060005346736073939e+00
3.965066620646514606e-01 9.919473691695945661e+01 2.500000000000000000e-01 2.055340464147455304e+00
3.957894553480831301e-01 1.828334215547302222e+01 2.500000000000000000e-01 2.081979397796757336e+00
3.963930016399679346e-01 3.325686854221088851e+01 2.500000000000000000e-01 2.062744066059774894e+00
3.978800837698204251e-01 5.170292096099928791e+00 2.500000000000000000e-01 2.011713909809405454e+00
3.977738894908496858e-01 5.205397872434692630e+01 2.500000000000000000e-01 2.003091367026834213e+00
3.956392007801564081e-01 4.230116467706240257e+01 2.500000000000000000e-01 2.089140001554660842e+00
3.974852868113898374e-01 5.723773978888748104e+01 2.500000000000000000e-01 2.029586392328698086e+00
3.960015673070142461e-01 8.044605080952912601e+01 2.500000000000000000e-01 2.086935688758019491e+00
3.991385217935418672e-01 1.242925483175642398e+01 2.500000000000000000e-01 1.963958414574764166e+00
3.971582606343866950e-01 8.413386412729120423e+01 2.500000000000000000e-01 2.033516101580587598e+00
3.952554945225327798e-01 4.191233382353048853e+01 2.500000000000000000e-01 2.108908931638472595e+00
3.960656725742547346e-01 3.530627628070831303e+00 2.500000000000000000e-01 2.078518930070341053e+00
3.972040574419583026e-01 5.369109879425626985e+01 2.500000000000000000e-01 2.032263568755046990e+00
3.958568574991325750e-01 6.288438861006443403e+01 2.500000000000000000e-01 2.081274810592797841e+00
3.973725270472128757e-01 4.947508543534812731e+00 2.500000000000000000e-01 2.020664016113024264e+00
3.974554328188968921e-01 5.961042482535912512e+01 2.500000000000000000e-01 2.029717379983173142e+00
3.959879444001711546e-01 2.434333510793229038e+01 2.500000000000000000e-01 2.070039477525177141e+00
3.957625285994877951e-01 1.652988429924168656e+01 2.500000000000000000e-01 2.089086284287216877e+00
3.956090603415033935e-01 1.046170698689788914e+01 2.500000000000000000e-01 2.089904850530807323e+00
3.974982029150818663e-01 9.164242127823195005e+01 2.500000000000000000e-01 2.030015815070921992e+00
3.964893902165966821e-01 7.764164663986632320e+01 2.500000000000000000e-01 2.058568818560214009e+00
3.953174083055097654e-01 1.667779682466067115e+01 2.500000000000000000e-01 2.114925952727200187e+00
3.969215337520820563e-01 5.745360644420764373e+01 2.500000000000000000e-01 2.041067017225154601e+00
3.958945619469443900e-01 1.983593497774730707e+01 2.500000000000000000e-01 2.081921162490830479e+00
3.961160539046220119e-01 8.817495320324499630e+01 2.500000000000000000e-01 2.072608418135605923e+00
