weight logl b a g i0
0.000000000000000000e+00 -5.880119666499810156e+13 7.046064907235048969e-01 4.282093025815576492e-01 3.406022014848411050e-01 4.345141885528962522e-01
0.000000000000000000e+00 -5.848226107684368750e+13 7.746482386844847356e-01 5.616047361784606284e-01 9.628858234459014565e-02 6.753436463838624615e-01
0.000000000000000000e+00 -5.746225916595429688e+13 9.401886620823883822e-01 8.334523194413683278e-01 3.833650503481763616e-01 6.120521731923889153e-01
0.000000000000000000e+00 -5.740322119931289844e+13 4.953983416294506226e-01 9.098185696681027057e-02 8.598760648393287687e-01 3.083025299528869834e-01
0.000000000000000000e+00 -5.725305113515761719e+13 9.553459366375901540e-01 8.214566197593463626e-01 1.816713134437897281e-01 2.682710504965505338e-01
0.000000000000000000e+00 -5.663028810705115625e+13 8.266108076562543872e-01 6.508558489655962287e-01 7.312237201758249316e-01 5.570694792645416449e-01
0.000000000000000000e+00 -5.654952143583957812e+13 8.934029722349599023e-01 7.665507517594956077e-01 6.468976870391895950e-02 6.240962149631710254e-01
0.000000000000000000e+00 -5.621626664929019531e+13 9.952790177866543964e-01 9.107760360761963936e-01 9.692021981410270381e-02 3.550554851847570470e-01
0.000000000000000000e+00 -5.601020222501228125e+13 6.467698800340164755e-01 3.743030774669532379e-01 2.742095614888865329e-01 7.670502956538877148e-01
0.000000000000000000e+00 -5.595054171134704688e+13 6.989594847355611318e-01 4.079203773856470150e-01 1.106287555707738957e-01 2.359294172956778457e-01
0.000000000000000000e+00 -5.482308697304644531e+13 5.586151283601205053e-01 2.429358180444264326e-01 8.762790150334388573e-01 9.324790732019445638e-01
0.000000000000000000e+00 -5.442187148519842188e+13 5.755810628827340292e-01 2.667619593913777010e-01 5.149249661168985304e-01 8.164734361969058218e-01
0.000000000000000000e+00 -5.344438012267909375e+13 7.334396449138181895e-01 5.226631819346529984e-01 5.649376924611876349e-01 5.964601749250374452e-01
0.000000000000000000e+00 -5.282506460625932031e+13 4.894704789691298741e-01 8.309131244063505672e-02 5.727409797666362934e-01 2.568577660296504916e-01
0.000000000000000000e+00 -5.183480744433767969e+13 6.609879675711330949e-01 4.176031822750695399e-01 5.005850347684863699e-01 7.123483814168780626e-01
0.000000000000000000e+00 -5.139088290218402344e+13 8.846029089394346068e-01 7.671949241028722666e-01 7.514625366671581208e-01 3.048246173221804689e-01
0.000000000000000000e+00 -5.047994198666050000e+13 5.842752415250535014e-01 1.844551506268727881e-01 3.936251257303178264e-01 5.873517613948675553e-02
0.000000000000000000e+00 -5.023059594130027344e+13 7.454784488826964317e-01 5.675104143614781993e-01 9.146165257903017265e-01 5.983035624831103405e-01
0.000000000000000000e+00 -5.013788961664700781e+13 7.174946779576414357e-01 5.273988372857891793e-01 3.032312866085695724e-02 7.121948346523113704e-01
0.000000000000000000e+00 -4.975243800123725781e+13 8.192727804434676298e-01 7.204227680568189296e-01 9.339964622054144350e-01 8.586132395502338310e-01
0.000000000000000000e+00 -4.947548212570317188e+13 5.822372082977254060e-01 2.328582513037298352e-01 6.723116095746652920e-01 1.851442889749058685e-01
0.000000000000000000e+00 -4.904038350928170312e+13 6.330398051766747969e-01 3.823042885772155453e-01 1.475949625851589175e-01 6.711155691068831919e-01
0.000000000000000000e+00 -4.840189973092900781e+13 9.964681968744031337e-01 8.671857266026002931e-01 2.923901201612159051e-01 2.217782982179272722e-02
0.000000000000000000e+00 -4.809610898104401562e+13 5.292012778318787580e-01 1.263048537097390955e-01 7.709549965208292166e-01 1.128621834596544860e-01
0.000000000000000000e+00 -4.712502559894343750e+13 9.747484875973551066e-01 9.961001298369005497e-01 4.752445631943554849e-01 4.244267898256239846e-01
0.000000000000000000e+00 -4.700155096539269531e+13 5.949725854586088714e-01 3.249363922934493942e-01 2.367941033017195718e-02 6.663585924459834997e-01
0.000000000000000000e+00 -4.697877382965129688e+13 9.438665333269892210e-01 9.662602500482282419e-01 1.110135785675472331e-01 6.786110123169404318e-01
0.000000000000000000e+00 -4.599759196424255469e+13 8.744967205552378609e-01 8.174634183544918775e-01 3.374190455288552659e-01 3.645788510779357505e-01
0.000000000000000000e+00 -4.557530186794064062e+13 6.558014417468849278e-01 3.410576013472060852e-01 1.503346216198363505e-01 7.711804061093452400e-02
0.000000000000000000e+00 -4.534125037051207031e+13 8.033366473361617244e-01 7.391165593823111335e-01 1.876850466756156965e-01 8.900562280949524396e-01
0.000000000000000000e+00 -4.525804991597359375e+13 4.964411661893516348e-01 9.495404485224734348e-02 6.162232096677192628e-01 1.745418203617228325e-01
0.000000000000000000e+00 -4.520327072945142969e+13 8.697645800316436970e-01 7.763711915670440389e-01 5.688942658944329267e-02 1.649533764016645199e-01
0.000000000000000000e+00 -4.502028100257496875e+13 6.908377839553443422e-01 4.659507416774476551e-01 1.790407334515997650e-02 2.514433720323859811e-01
0.000000000000000000e+00 -4.455233802844482812e+13 5.893051939888653834e-01 3.125739210372840970e-01 8.178421126240696948e-01 4.878643520066455741e-01
0.000000000000000000e+00 -4.436628781297891406e+13 7.429207189849899029e-01 6.332839176434278405e-01 8.762171974740695646e-02 8.645652483354124840e-01
0.000000000000000000e+00 -4.384197299572700781e+13 5.347269655260883381e-01 2.425899507096207497e-01 6.093608751470315221e-01 8.843549306194018467e-01
0.000000000000000000e+00 -4.326385328526670312e+13 8.812628505403755641e-01 8.282958760570005019e-01 2.453055858892968510e-01 1.865924840280642760e-01
0.000000000000000000e+00 -4.289057491122527344e+13 8.290539448811617973e-01 8.216039760864412012e-01 2.862129340279280232e-01 9.604409681721963743e-01
0.000000000000000000e+00 -4.268577373155397656e+13 8.055261801039441671e-01 7.768722622516860410e-01 3.817632086728215413e-01 9.367941373162835816e-01
0.000000000000000000e+00 -4.118191290674789844e+13 7.865694613261321466e-01 7.305563157610277525e-01 5.871454996411052951e-01 5.744439979526240192e-01
0.000000000000000000e+00 -4.110689145666767969e+13 7.388761535885518539e-01 5.806766025716383339e-01 4.908350962565051212e-01 2.045924369725923286e-01
0.000000000000000000e+00 -4.072442013813846875e+13 5.261218774960024769e-01 2.447623836789969420e-01 5.252928225295326881e-01 9.633077445725005683e-01
0.000000000000000000e+00 -4.011277068062842188e+13 8.964306846658713912e-01 9.557780479733951617e-01 5.152852374980705363e-01 4.831443703196276473e-01
0.000000000000000000e+00 -3.978925389180544531e+13 6.527791584864991448e-01 5.050993638564834631e-01 6.311221100007609053e-01 9.657297747040474167e-01
0.000000000000000000e+00 -3.977563736364212500e+13 7.647173149360910749e-01 7.328977873135068544e-01 1.101388911080538602e-01 9.653393358246565858e-01
0.000000000000000000e+00 -3.974740520332732031e+13 8.234679125599330130e-01 8.493553929126039792e-01 3.535889546469329625e-01 9.058500168369635341e-01
0.000000000000000000e+00 -3.927170246409933594e+13 6.547120632430538656e-01 4.699393198693279095e-01 9.355229701507500328e-01 4.345185845839251160e-01
0.000000000000000000e+00 -3.921567963587842188e+13 9.002328729468209723e-01 9.322207261097367192e-01 4.876939862152770422e-01 2.200806730315365556e-01
0.000000000000000000e+00 -3.916378454748875000e+13 7.760863355651421713e-01 7.580211398153372526e-01 1.931156995545558752e-01 8.712747637508890808e-01
0.000000000000000000e+00 -3.892242064482171875e+13 7.600510701668397040e-01 6.641313176105090310e-01 5.332501195897865198e-01 2.827134715608177196e-01
0.000000000000000000e+00 -3.842851789281415625e+13 6.860900269648527727e-01 5.439782237215936567e-01 2.271684729183091056e-01 4.523506492787141564e-01
0.000000000000000000e+00 -3.840291165727435156e+13 6.225185783889570779e-01 4.398411328995011083e-01 1.847816614266863944e-01 7.316682724476033517e-01
0.000000000000000000e+00 -3.836935927233170312e+13 8.915524896347212236e-01 9.420322582822489021e-01 7.555928242493572533e-01 2.814107684656090846e-01
0.000000000000000000e+00 -3.734834023124791406e+13 6.098356523907513260e-01 3.779817865691147416e-01 9.168558405082166685e-01 3.264356637240296566e-01
0.000000000000000000e+00 -3.733167351006323438e+13 8.128852128758855544e-01 8.466880652814116059e-01 5.666109045141486389e-01 6.917651029427654974e-01
0.000000000000000000e+00 -3.663104914402348438e+13 7.621796714953970042e-01 6.775916391994942778e-01 3.850045820721108569e-01 2.040431170286712836e-01
0.000000000000000000e+00 -3.659340192840030469e+13 8.613188295020833829e-01 9.504560612884295212e-01 3.310187490060026994e-01 5.770618236074938068e-01
0.000000000000000000e+00 -3.640195106837971875e+13 6.232856480706114866e-01 2.063314829554003804e-01 4.581457332191751775e-01 5.598824243670974532e-03
0.000000000000000000e+00 -3.595867309481983594e+13 6.661533741238306883e-01 5.508232742873130361e-01 9.133818776788440452e-01 6.842741617421023159e-01
0.000000000000000000e+00 -3.543832079714485938e+13 9.061466609227681879e-01 9.099328923560192628e-01 8.840486026619226445e-01 4.261264225264382866e-02
0.000000000000000000e+00 -3.531092049966815625e+13 7.182891864316865993e-01 6.874483014877739162e-01 7.367004114728812336e-01 8.962645756144171916e-01
0.000000000000000000e+00 -3.521286619884839062e+13 8.787762947323991547e-01 8.902504315711965432e-01 3.503106369690609512e-01 7.736933718688865369e-02
0.000000000000000000e+00 -3.497595587932049609e+13 6.248301675979235359e-01 4.120136320058293000e-01 9.830967794523454151e-01 2.418447618500385587e-01
0.000000000000000000e+00 -3.493249744106203125e+13 5.041478348784861341e-01 1.718929344358965938e-01 4.815149459368326390e-01 3.266313205354133276e-01
0.000000000000000000e+00 -3.480070049145113281e+13 7.557040635238404525e-01 7.681235539052512218e-01 4.641971804672616608e-01 7.801941354094893422e-01
0.000000000000000000e+00 -3.461704422284671875e+13 7.690373415441601468e-01 6.920527727401415419e-01 4.324532174306416898e-02 1.298911367357657998e-01
0.000000000000000000e+00 -3.450495287162849219e+13 7.351269767699264435e-01 6.317433816482189712e-01 4.962956139366461183e-01 1.595335066535316093e-01
0.000000000000000000e+00 -3.447584493203294922e+13 5.037314212692511894e-01 2.322847913675016862e-01 9.948707268814623861e-01 9.934971160903052212e-01
0.000000000000000000e+00 -3.443212572912071875e+13 4.056234624448818993e-01 7.273442704388566327e-04 5.976405147644423543e-01 8.128162454606675524e-01
0.000000000000000000e+00 -3.415435253436579688e+13 8.523365529104708349e-01 9.869015508825672578e-01 8.449583135028979619e-01 7.084318575544394925e-01
0.000000000000000000e+00 -3.339821398962683594e+13 6.473822064460652559e-01 4.872538468682972024e-01 6.649904652839736530e-01 2.941876821035863676e-01
0.000000000000000000e+00 -3.204737066704332031e+13 7.661555590973240237e-01 8.140094413718762523e-01 2.058870469983045126e-01 5.604978632480920320e-01
0.000000000000000000e+00 -3.138424360394389062e+13 6.090050321295998881e-01 4.653321724148176131e-01 2.595034473527292329e-01 6.156245497105994335e-01
0.000000000000000000e+00 -3.133462149328752344e+13 7.239778612182358186e-01 7.488164263019034816e-01 5.908795928025933897e-01 7.796514803753592515e-01
0.000000000000000000e+00 -3.087868406868064844e+13 7.488594295537137624e-01 7.945148261292239722e-01 1.226295379201592928e-01 5.708866965814577421e-01
0.000000000000000000e+00 -3.069382642926267578e+13 8.195602726966803031e-01 9.835782785542195317e-01 9.489572078179192571e-01 7.548980614205500483e-01
0.000000000000000000e+00 -3.027300264912910938e+13 7.083332211747755958e-01 7.114150786436312934e-01 3.584578056753063846e-01 5.981765565085392922e-01
0.000000000000000000e+00 -3.006264955353257422e+13 7.093006051601500328e-01 7.043215110632611298e-01 4.116472215317551475e-01 4.921750414904551008e-01
0.000000000000000000e+00 -2.988988682358799609e+13 5.017249129477840963e-01 1.914218061204431276e-01 7.704108339929061078e-02 3.272231087077570599e-01
0.000000000000000000e+00 -2.911825513470603906e+13 7.069626475648616015e-01 7.499291038556994415e-01 9.206065345332014038e-01 8.470199343010925697e-01
0.000000000000000000e+00 -2.882431459633177344e+13 4.359718358762390000e-01 6.550946773319044070e-02 2.734172052931237440e-01 4.884428907292747146e-01
0.000000000000000000e+00 -2.880141193653555469e+13 5.847513599816209773e-01 3.820437684485675778e-01 9.477290702201268680e-03 2.626703756939443579e-01
0.000000000000000000e+00 -2.851737242368900000e+13 8.023767985997241059e-01 9.721217009356837302e-01 3.931226300111232419e-01 5.958746433527239983e-01
0.000000000000000000e+00 -2.814427138911589844e+13 7.557530074393487007e-01 8.064123382078114410e-01 6.787137845597113195e-02 2.547773912457599321e-01
0.000000000000000000e+00 -2.712100482349705078e+13 7.218658869169738423e-01 8.165783560446967515e-01 1.727344624866975487e-01 7.646015879964003226e-01
0.000000000000000000e+00 -2.695434620666109375e+13 7.566498891708047791e-01 8.428283707425647808e-01 9.699496540115110088e-01 2.989298601173757675e-01
0.000000000000000000e+00 -2.667142097583122656e+13 5.586284190634481783e-01 4.090755787287002621e-01 9.186755489090934201e-01 7.834020674248107774e-01
