weight logl b a g i0
0.000000000000000000e+00 -6.159717312218042969e+13 1.990617000743912346e+00 8.891242584105744129e+01 2.500000000000000000e-01 1.791630505485735725e+01
0.000000000000000000e+00 -6.148183732678061719e+13 1.614916250636197148e+00 6.038539335903772098e+01 2.500000000000000000e-01 1.969438327334195193e+01
0.000000000000000000e+00 -6.058781286221474219e+13 1.754111813617210469e+00 6.894259021605851956e+01 2.500000000000000000e-01 1.023420767835205503e+01
0.000000000000000000e+00 -6.007672459504450781e+13 1.649043259841556752e+00 6.255640993681596029e+01 2.500000000000000000e-01 1.411410173488770958e+01
0.000000000000000000e+00 -5.930509600498285938e+13 1.750631242309761859e+00 7.268617486276423278e+01 2.500000000000000000e-01 1.986675135154506933e+01
0.000000000000000000e+00 -5.880119666499810156e+13 1.409212981447009794e+00 4.339272095557420528e+01 2.500000000000000000e-01 1.086285471382240608e+01
0.000000000000000000e+00 -5.848226107684368750e+13 1.549296477368969471e+00 5.659886888166759888e+01 2.500000000000000000e-01 1.688359115959656265e+01
0.000000000000000000e+00 -5.746225916595429688e+13 1.880377324164776764e+00 8.351177962469546401e+01 2.500000000000000000e-01 1.530130432980972266e+01
0.000000000000000000e+00 -5.740322119931289844e+13 9.907966832589012451e-01 1.000720383971421690e+01 2.500000000000000000e-01 7.707563248822174806e+00
0.000000000000000000e+00 -5.725305113515761719e+13 1.910691873275180308e+00 8.232420535617528401e+01 2.500000000000000000e-01 6.706776262413763234e+00
0.000000000000000000e+00 -5.663028810705115625e+13 1.653221615312508774e+00 6.543472904759403264e+01 2.500000000000000000e-01 1.392673698161354068e+01
0.000000000000000000e+00 -5.654952143583957812e+13 1.786805944469919805e+00 7.688852442419006650e+01 2.500000000000000000e-01 1.560240537407927519e+01
0.000000000000000000e+00 -5.621626664929019531e+13 1.990558035573308793e+00 9.116682757154343619e+01 2.500000000000000000e-01 8.876387129618926508e+00
0.000000000000000000e+00 -5.601020222501228125e+13 1.293539760068032951e+00 3.805600466922837199e+01 2.500000000000000000e-01 1.917625739134719254e+01
0.000000000000000000e+00 -5.595054171134704688e+13 1.397918969471122264e+00 4.138411736117905093e+01 2.500000000000000000e-01 5.898235432391945920e+00
0.000000000000000000e+00 -5.482308697304644531e+13 1.117230256720241011e+00 2.505064598639821583e+01 2.500000000000000000e-01 2.331197683004861432e+01
0.000000000000000000e+00 -5.442187148519842188e+13 1.151162125765468058e+00 2.740943397974639240e+01 2.500000000000000000e-01 2.041183590492264699e+01
0.000000000000000000e+00 -5.344438012267909375e+13 1.466879289827636379e+00 5.274365501153064884e+01 2.500000000000000000e-01 1.491150437312593624e+01
0.000000000000000000e+00 -5.282506460625932031e+13 9.789409579382597482e-01 9.226039931622871393e+00 2.500000000000000000e-01 6.421444150741262291e+00
0.000000000000000000e+00 -5.183480744433767969e+13 1.321975935142266190e+00 4.234271504523188412e+01 2.500000000000000000e-01 1.780870953542195068e+01
0.000000000000000000e+00 -5.139088290218402344e+13 1.769205817878869214e+00 7.695229748618434940e+01 2.500000000000000000e-01 7.620615433054512167e+00
0.000000000000000000e+00 -5.047994198666050000e+13 1.168550483050107003e+00 1.926105991206040713e+01 2.500000000000000000e-01 1.468379403487168888e+00
0.000000000000000000e+00 -5.023059594130027344e+13 1.490956897765392863e+00 5.718353102178634373e+01 2.500000000000000000e-01 1.495758906207775851e+01
0.000000000000000000e+00 -5.013788961664700781e+13 1.434989355915282871e+00 5.321248489129312986e+01 2.500000000000000000e-01 1.780487086630778393e+01
0.000000000000000000e+00 -4.975243800123725781e+13 1.638545560886935260e+00 7.232185403762507292e+01 2.500000000000000000e-01 2.146533098875584500e+01
0.000000000000000000e+00 -4.947548212570317188e+13 1.164474416595450812e+00 2.405296687906925257e+01 2.500000000000000000e-01 4.628607224372646378e+00
0.000000000000000000e+00 -4.904038350928170312e+13 1.266079610353349594e+00 3.884812456914433909e+01 2.500000000000000000e-01 1.677788922767208035e+01
0.000000000000000000e+00 -4.840189973092900781e+13 1.992936393748806267e+00 8.685138693365742313e+01 2.500000000000000000e-01 5.544457455448181804e-01
0.000000000000000000e+00 -4.809610898104401562e+13 1.058402555663757516e+00 1.350418051726417090e+01 2.500000000000000000e-01 2.821554586491362038e+00
0.000000000000000000e+00 -4.712502559894343750e+13 1.949496975194710213e+00 9.961391285385315086e+01 2.500000000000000000e-01 1.061066974564059961e+01
0.000000000000000000e+00 -4.700155096539269531e+13 1.189945170917217743e+00 3.316870283705149092e+01 2.500000000000000000e-01 1.665896481114958760e+01
0.000000000000000000e+00 -4.697877382965129688e+13 1.887733066653978442e+00 9.665976475477459928e+01 2.500000000000000000e-01 1.696527530792351257e+01
0.000000000000000000e+00 -4.599759196424255469e+13 1.748993441110475722e+00 8.192887841709469399e+01 2.500000000000000000e-01 9.114471276948393097e+00
0.000000000000000000e+00 -4.557530186794064062e+13 1.311602883493769856e+00 3.476470253337340210e+01 2.500000000000000000e-01 1.927951015273363211e+00
0.000000000000000000e+00 -4.534125037051207031e+13 1.606673294672323449e+00 7.417253937884879633e+01 2.500000000000000000e-01 2.225140570237381255e+01
0.000000000000000000e+00 -4.525804991597359375e+13 9.928823323787032695e-01 1.040045044037248623e+01 2.500000000000000000e-01 4.363545509043071036e+00
0.000000000000000000e+00 -4.520327072945142969e+13 1.739529160063287394e+00 7.786074796513736374e+01 2.500000000000000000e-01 4.123834410041612664e+00
0.000000000000000000e+00 -4.502028100257496875e+13 1.381675567910688684e+00 4.712912342606731642e+01 2.500000000000000000e-01 6.286084300809649861e+00
0.000000000000000000e+00 -4.455233802844482812e+13 1.178610387977730767e+00 3.194481818269112594e+01 2.500000000000000000e-01 1.219660880016613902e+01
0.000000000000000000e+00 -4.436628781297891406e+13 1.485841437969979806e+00 6.369510784669935788e+01 2.500000000000000000e-01 2.161413120838531299e+01
0.000000000000000000e+00 -4.384197299572700781e+13 1.069453931052176676e+00 2.501640512025245400e+01 2.500000000000000000e-01 2.210887326548504461e+01
0.000000000000000000e+00 -4.326385328526670312e+13 1.762525701080751128e+00 8.300129172964304303e+01 2.500000000000000000e-01 4.664812100701606568e+00
0.000000000000000000e+00 -4.289057491122527344e+13 1.658107889762323595e+00 8.233879363255768169e+01 2.500000000000000000e-01 2.401102420430490980e+01
0.000000000000000000e+00 -4.268577373155397656e+13 1.611052360207888334e+00 7.791035396291691484e+01 2.500000000000000000e-01 2.341985343290708954e+01
0.000000000000000000e+00 -4.118191290674789844e+13 1.573138922652264293e+00 7.332507526034174816e+01 2.500000000000000000e-01 1.436109994881559970e+01
0.000000000000000000e+00 -4.110689145666767969e+13 1.477752307177103708e+00 5.848698365459219417e+01 2.500000000000000000e-01 5.114810924314808105e+00
0.000000000000000000e+00 -4.072442013813846875e+13 1.052243754992004954e+00 2.523147598422069748e+01 2.500000000000000000e-01 2.408269361431251454e+01
0.000000000000000000e+00 -4.011277068062842188e+13 1.792861369331742782e+00 9.562202674936611402e+01 2.500000000000000000e-01 1.207860925799069207e+01
0.000000000000000000e+00 -3.978925389180544531e+13 1.305558316972998290e+00 5.100483702179186452e+01 2.500000000000000000e-01 2.414324436760118431e+01
