logz logzerr logvol nlive logl logwt insert_order
-5.663028810705737500e+13 1.277439312174579289e+00 -2.275000000000001465e-01 4.000000000000000000e+02 -5.654952143583957812e+13 -5.654952143584579688e+13 1.290000000000000036e+00
-5.654952143584579688e+13 3.807377393843328094e+10 -2.300000000000001488e-01 4.000000000000000000e+02 -5.621626664929019531e+13 -5.621626664929642188e+13 1.794999999999999929e+00
-5.621626664929642188e+13 1.776711487984099426e+11 -2.325000000000001510e-01 4.000000000000000000e+02 -5.601020222501228125e+13 -5.601020222501850781e+13 1.935000000000000053e+00
-5.601020222501850781e+13 2.016823012462146606e+11 -2.350000000000001532e-01 4.000000000000000000e+02 -5.595054171134704688e+13 -5.595054171135327344e+13 3.900000000000000133e-01
-5.595054171135327344e+13 2.306144990816839905e+11 -2.375000000000001554e-01 4.000000000000000000e+02 -5.482308697304644531e+13 -5.482308697305267188e+13 1.504999999999999893e+00
-5.482308697305267188e+13 5.990507521511749268e+11 -2.400000000000001577e-01 4.000000000000000000e+02 -5.442187148519842188e+13 -5.442187148520465625e+13 4.099999999999999756e-01
-5.442187148520465625e+13 4.269499341821840210e+11 -2.425000000000001599e-01 4.000000000000000000e+02 -5.344438012267909375e+13 -5.344438012268532812e+13 1.925000000000000044e+00
-5.344438012268532812e+13 4.232661759603556519e+11 -2.450000000000001621e-01 4.000000000000000000e+02 -5.282506460625932031e+13 -5.282506460626555469e+13 2.700000000000000178e-01
-5.282506460626555469e+13 4.683211099904438477e+11 -2.475000000000001643e-01 4.000000000000000000e+02 -5.183480744433767969e+13 -5.183480744434392188e+13 7.900000000000000355e-01
-5.183480744434392188e+13 8.374992274404971924e+11 -2.500000000000001665e-01 4.000000000000000000e+02 -5.139088290218402344e+13 -5.139088290219026562e+13 1.885000000000000009e+00
-5.139088290219026562e+13 4.041457970651843872e+11 -2.525000000000001688e-01 4.000000000000000000e+02 -5.047994198666050000e+13 -5.047994198666674219e+13 1.679999999999999938e+00
-5.047994198666674219e+13 6.976296809279180908e+11 -2.550000000000001710e-01 4.000000000000000000e+02 -5.023059594130027344e+13 -5.023059594130652344e+13 1.754999999999999893e+00
-5.023059594130652344e+13 4.106723788815872192e+11 -2.575000000000001732e-01 4.000000000000000000e+02 -5.013788961664700781e+13 -5.013788961665325781e+13 1.689999999999999947e+00
-5.013788961665325781e+13 9.606081858205482483e+10 -2.600000000000001754e-01 4.000000000000000000e+02 -4.975243800123725781e+13 -4.975243800124350781e+13 4.400000000000000022e-01
-4.975243800124350781e+13 2.388886282615923767e+11 -2.625000000000001776e-01 4.000000000000000000e+02 -4.947548212570317188e+13 -4.947548212570942969e+13 1.504999999999999893e+00
-4.947548212570942969e+13 2.837027459044490967e+11 -2.650000000000001799e-01 4.000000000000000000e+02 -4.904038350928170312e+13 -4.904038350928796094e+13 4.199999999999999845e-01
-4.904038350928796094e+13 3.240995943642211304e+11 -2.675000000000001821e-01 4.000000000000000000e+02 -4.840189973092900781e+13 -4.840189973093526562e+13 1.209999999999999964e+00
-4.840189973093526562e+13 5.166039920424000244e+11 -2.700000000000001843e-01 4.000000000000000000e+02 -4.809610898104401562e+13 -4.809610898105028125e+13 3.549999999999999822e-01
-4.809610898105028125e+13 2.669176580422952881e+11 -2.725000000000001865e-01 4.000000000000000000e+02 -4.712502559894343750e+13 -4.712502559894970312e+13 1.455000000000000071e+00
-4.712502559894970312e+13 4.204914390462775269e+11 -2.750000000000001887e-01 4.000000000000000000e+02 -4.700155096539269531e+13 -4.700155096539896094e+13 1.814999999999999947e+00
-4.700155096539896094e+13 2.956313873043095703e+11 -2.775000000000001910e-01 4.000000000000000000e+02 -4.697877382965129688e+13 -4.697877382965757031e+13 3.350000000000000200e-01
-4.697877382965757031e+13 5.975479293436809540e+10 -2.800000000000001932e-01 4.000000000000000000e+02 -4.599759196424255469e+13 -4.599759196424882812e+13 1.135000000000000009e+00
-4.599759196424882812e+13 3.741534288659716187e+11 -2.825000000000001954e-01 4.000000000000000000e+02 -4.557530186794064062e+13 -4.557530186794691406e+13 1.209999999999999964e+00
-4.557530186794691406e+13 1.828569755821755371e+11 -2.850000000000001976e-01 4.000000000000000000e+02 -4.534125037051207031e+13 -4.534125037051835156e+13 9.250000000000000444e-01
-4.534125037051835156e+13 2.427038942299639893e+11 -2.875000000000001998e-01 4.000000000000000000e+02 -4.525804991597359375e+13 -4.525804991597987500e+13 1.510000000000000009e+00
-4.525804991597987500e+13 2.093871583927753296e+11 -2.900000000000002021e-01 4.000000000000000000e+02 -4.520327072945142969e+13 -4.520327072945771094e+13 7.800000000000000266e-01
-4.520327072945771094e+13 2.308846317029997864e+11 -2.925000000000002043e-01 4.000000000000000000e+02 -4.502028100257496875e+13 -4.502028100258125781e+13 6.199999999999999956e-01
-4.502028100258125781e+13 5.057568871160327148e+10 -2.950000000000002065e-01 4.000000000000000000e+02 -4.455233802844482812e+13 -4.455233802845111719e+13 1.199999999999999956e+00
-4.455233802845111719e+13 1.743920499581311340e+11 -2.975000000000002087e-01 4.000000000000000000e+02 -4.436628781297891406e+13 -4.436628781298520312e+13 1.700000000000000122e-01
-4.436628781298520312e+13 2.185821839616918945e+11 -3.000000000000002109e-01 4.000000000000000000e+02 -4.384197299572700781e+13 -4.384197299573329688e+13 2.999999999999999889e-01
-4.384197299573329688e+13 3.808477541559244385e+11 -3.025000000000002132e-01 4.000000000000000000e+02 -4.326385328526670312e+13 -4.326385328527300000e+13 1.584999999999999964e+00
-4.326385328527300000e+13 6.078636945416867676e+11 -3.050000000000002154e-01 4.000000000000000000e+02 -4.289057491122527344e+13 -4.289057491123157031e+13 5.300000000000000266e-01
-4.289057491123157031e+13 7.201686057910523682e+11 -3.075000000000002176e-01 4.000000000000000000e+02 -4.268577373155397656e+13 -4.268577373156027344e+13 9.200000000000000400e-01
-4.268577373156027344e+13 2.360582200108704834e+11 -3.100000000000002198e-01 4.000000000000000000e+02 -4.118191290674789844e+13 -4.118191290675420312e+13 1.659999999999999920e+00
-4.118191290675420312e+13 5.604558388274812012e+11 -3.125000000000002220e-01 4.000000000000000000e+02 -4.110689145666767969e+13 -4.110689145667398438e+13 1.534999999999999920e+00
-4.110689145667398438e+13 4.349854079576571045e+11 -3.150000000000002243e-01 4.000000000000000000e+02 -4.072442013813846875e+13 -4.072442013814477344e+13 9.599999999999999645e-01
-4.072442013814477344e+13 1.969131748025219116e+11 -3.175000000000002265e-01 4.000000000000000000e+02 -4.011277068062842188e+13 -4.011277068063473438e+13 1.415000000000000036e+00
-4.011277068063473438e+13 4.069550275622532349e+11 -3.200000000000002287e-01 4.000000000000000000e+02 -3.978925389180544531e+13 -3.978925389181175781e+13 4.600000000000000200e-01
-3.978925389181175781e+13 4.676067162652674561e+11 -3.225000000000002309e-01 4.000000000000000000e+02 -3.977563736364212500e+13 -3.977563736364843750e+13 1.549999999999999989e-01
-3.977563736364843750e+13 9.233506923289654541e+10 -3.250000000000002331e-01 4.000000000000000000e+02 -3.974740520332732031e+13 -3.974740520333364062e+13 1.060000000000000053e+00
-3.974740520333364062e+13 1.566723665649338341e+10 -3.275000000000002354e-01 4.000000000000000000e+02 -3.927170246409933594e+13 -3.927170246410565625e+13 1.250000000000000000e-01
-3.927170246410565625e+13 2.310465904929473572e+11 -3.300000000000002376e-01 4.000000000000000000e+02 -3.921567963587842188e+13 -3.921567963588474219e+13 6.800000000000000488e-01
-3.921567963588474219e+13 1.456229180826273804e+11 -3.325000000000002398e-01 4.000000000000000000e+02 -3.916378454748875000e+13 -3.916378454749507812e+13 6.650000000000000355e-01
-3.916378454749507812e+13 2.594754419481510162e+10 -3.350000000000002420e-01 4.000000000000000000e+02 -3.892242064482171875e+13 -3.892242064482804688e+13 1.459999999999999964e+00
-3.892242064482804688e+13 1.126699742520424805e+11 -3.375000000000002442e-01 4.000000000000000000e+02 -3.842851789281415625e+13 -3.842851789282048438e+13 1.625000000000000000e+00
-3.842851789282048438e+13 2.551277629314503479e+11 -3.400000000000002465e-01 4.000000000000000000e+02 -3.840291165727435156e+13 -3.840291165728068750e+13 1.639999999999999902e+00
-3.840291165728068750e+13 7.077189631405524254e+09 -3.425000000000002487e-01 4.000000000000000000e+02 -3.836935927233170312e+13 -3.836935927233803906e+13 2.200000000000000011e-01
-3.836935927233803906e+13 1.581674594562469673e+10 -3.450000000000002509e-01 4.000000000000000000e+02 -3.734834023124791406e+13 -3.734834023125425000e+13 1.625000000000000000e+00
-3.734834023125425000e+13 5.100961551433331909e+11 -3.475000000000002531e-01 4.000000000000000000e+02 -3.733167351006323438e+13 -3.733167351006957812e+13 5.600000000000000533e-01
-3.733167351006957812e+13 2.953011919381360474e+11 -3.500000000000002554e-01 4.000000000000000000e+02 -3.663104914402348438e+13 -3.663104914402982812e+13 1.799999999999999933e-01
-3.663104914402982812e+13 5.224207243426845093e+11 -3.525000000000002576e-01 4.000000000000000000e+02 -3.659340192840030469e+13 -3.659340192840664844e+13 1.334999999999999964e+00
-3.659340192840664844e+13 3.180347671482021484e+11 -3.550000000000002598e-01 4.000000000000000000e+02 -3.640195106837971875e+13 -3.640195106838607031e+13 8.500000000000000611e-02
-3.640195106838607031e+13 3.291777812225330200e+11 -3.575000000000002620e-01 4.000000000000000000e+02 -3.595867309481983594e+13 -3.595867309482618750e+13 4.249999999999999889e-01
-3.595867309482618750e+13 4.066003867370236206e+11 -3.600000000000002642e-01 4.000000000000000000e+02 -3.543832079714485938e+13 -3.543832079715121094e+13 6.550000000000000266e-01
-3.543832079715121094e+13 5.284639324204882812e+11 -3.625000000000002665e-01 4.000000000000000000e+02 -3.531092049966815625e+13 -3.531092049967450781e+13 4.550000000000000155e-01
-3.531092049967450781e+13 2.365271628157997437e+11 -3.650000000000002687e-01 4.000000000000000000e+02 -3.521286619884839062e+13 -3.521286619885475000e+13 1.459999999999999964e+00
-3.521286619885475000e+13 4.245875772996881866e+10 -3.675000000000002709e-01 4.000000000000000000e+02 -3.497595587932049609e+13 -3.497595587932685547e+13 7.500000000000000000e-01
-3.497595587932685547e+13 1.256508141189832306e+11 -3.700000000000002731e-01 4.000000000000000000e+02 -3.493249744106203125e+13 -3.493249744106839453e+13 2.099999999999999922e-01
-3.493249744106839453e+13 1.209606785693379364e+11 -3.725000000000002753e-01 4.000000000000000000e+02 -3.480070049145113281e+13 -3.480070049145749609e+13 1.524999999999999911e+00
-3.480070049145749609e+13 1.651435617065606995e+11 -3.750000000000002776e-01 4.000000000000000000e+02 -3.461704422284671875e+13 -3.461704422285308594e+13 1.274999999999999911e+00
-3.461704422285308594e+13 1.072933469379418030e+11 -3.775000000000002798e-01 4.000000000000000000e+02 -3.450495287162849219e+13 -3.450495287163486328e+13 1.100000000000000006e-01
-3.450495287163486328e+13 8.621606350568911743e+10 -3.800000000000002820e-01 4.000000000000000000e+02 -3.447584493203294922e+13 -3.447584493203932031e+13 3.049999999999999933e-01
-3.447584493203932031e+13 9.823723494124255371e+10 -3.825000000000002842e-01 4.000000000000000000e+02 -3.443212572912071875e+13 -3.443212572912709375e+13 1.104999999999999982e+00
-3.443212572912709375e+13 9.880395919312388611e+10 -3.850000000000002864e-01 4.000000000000000000e+02 -3.415435253436579688e+13 -3.415435253437217578e+13 7.500000000000000000e-01
-3.415435253437217578e+13 2.004679510402598572e+11 -3.875000000000002887e-01 4.000000000000000000e+02 -3.339821398962683594e+13 -3.339821398963321484e+13 1.280000000000000027e+00
-3.339821398963321484e+13 3.732970242771089478e+11 -3.900000000000002909e-01 4.000000000000000000e+02 -3.204737066704332031e+13 -3.204737066704970312e+13 1.405000000000000027e+00
-3.204737066704970312e+13 6.367936491459495850e+11 -3.925000000000002931e-01 4.000000000000000000e+02 -3.138424360394389062e+13 -3.138424360395027734e+13 6.049999999999999822e-01
